법정동,거래금액_2020,거래금액_2021,거래금액_2022,거래금액_2023,거래금액_2024,거래금액_2025,지역
가락동,128026.27118644067,168000.0,127614.28571428571,163600.0,156911.90476190476,168680.92105263157,서울
가산동,25238.666666666668,21620.0,15125.0,32680.0,68000.0,40060.0,서울
가양동,74722.66666666667,109275.0,91766.66666666667,76400.0,80108.69565217392,75619.23076923077,서울
갈현동,49490.0,46500.0,37000.0,54250.0,45143.0,61483.333333333336,서울
강일동,97096.0,112666.66666666667,71125.0,85000.0,92000.0,88550.0,서울
개봉동,67216.39344262295,74500.0,55325.0,66915.0,64072.41379310345,64171.27659574468,서울
개포동,181784.375,254200.0,159833.33333333334,146811.11111111112,233438.0,253132.1052631579,서울
거여동,87324.0,105425.0,100000.0,109291.81818181818,114866.66666666667,119957.8947368421,서울
견지동,122000.0,,,,,,서울
고덕동,146526.92307692306,148128.57142857142,122456.66666666667,128813.04347826086,160435.29411764705,158012.12121212122,서울
고척동,63361.53846153846,86000.0,75500.0,66983.33333333333,55784.61538461538,58350.0,서울
공덕동,152225.0,143416.66666666666,109454.54545454546,112500.0,124050.0,139401.28205128206,서울
공릉동,55240.13157894737,58550.0,44176.92307692308,49319.354838709674,61484.72222222222,58158.0,서울
공항동,,,70000.0,,47200.0,49800.0,서울
광장동,136652.43902439025,141000.0,110433.33333333333,111445.45454545454,147385.1851851852,151826.31578947368,서울
교북동,,80000.0,,102000.0,,,서울
구로동,46972.87431693989,38010.22727272727,43361.53846153846,52370.68965517241,62881.395348837206,54982.03125,서울
구산동,56933.333333333336,60450.0,,49150.0,45625.0,41562.5,서울
구의동,119683.87096774194,112500.0,105666.66666666667,134150.0,115900.0,127257.14285714286,서울
군자동,79000.0,127000.0,,111000.0,73500.0,70000.0,서울
궁동,41000.0,,,,,,서울
금호동1가,135988.88888888888,121500.0,120000.0,115000.0,125181.81818181818,152447.36842105264,서울
금호동2가,137025.0,,95166.66666666667,114500.0,149875.0,153048.0,서울
금호동3가,113285.0,100000.0,,93166.66666666667,115125.0,109333.33333333333,서울
금호동4가,138150.96,153875.0,130000.0,132375.0,167327.27272727274,166058.62068965516,서울
길동,64044.59459459459,24703.333333333332,10000.0,56221.1,41485.8813559322,63500.0,서울
길음동,95835.91549295775,111940.0,74750.0,89514.28571428571,87254.41176470589,89517.96875,서울
남가좌동,119524.44444444444,66640.0,84357.14285714286,89300.0,107962.5,99680.64516129032,서울
남창동,,,,,,39000.0,서울
남현동,71358.33333333333,58000.0,,82500.0,57000.0,,서울
내곡동,161750.0,,,,143500.0,143500.0,서울
내발산동,85775.75757575757,83333.33333333333,76000.0,80183.33333333333,104377.77777777778,93113.15789473684,서울
냉천동,98928.57142857143,130000.0,,108000.0,,119000.0,서울
노고산동,38499.666666666664,25400.0,27200.0,26900.0,,27500.0,서울
노량진동,97800.0,41600.0,54000.0,61515.38461538462,106742.85714285714,104900.0,서울
녹번동,103212.0,122400.0,87150.0,88783.33333333333,,80828.57142857143,서울
논현동,110372.0,81660.0,,81900.0,203736.36363636365,186711.11111111112,서울
누상동,,,19000.0,,,,서울
답십리동,94498.35164835164,43381.818181818184,84350.0,79278.57142857143,79753.125,98659.70149253731,서울
당산동,84571.42857142857,49516.666666666664,51400.0,71500.0,108928.57142857143,98633.33333333333,서울
당산동1가,68400.0,122000.0,,,83300.0,90375.0,서울
당산동2가,82316.66666666667,122000.0,55000.0,106000.0,92125.0,45150.0,서울
